name,url
DuckDuckGo,http://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion
OrNetStats,https://nusenu.github.io/OrNetStats/
OrNetRadar,https://nusenu.github.io/OrNetRadar/
Relay Search,http://hctxrvjzfpvmzh2jllqhgvvkoepxb4kfzdjm6h7egcwlumggtktiftid.onion/rs.html#aggregate
ExoneraTor – Tor Metrics,http://hctxrvjzfpvmzh2jllqhgvvkoepxb4kfzdjm6h7egcwlumggtktiftid.onion/exonerator.html
Performance – Tor Metrics,http://hctxrvjzfpvmzh2jllqhgvvkoepxb4kfzdjm6h7egcwlumggtktiftid.onion/torperf.html
v3 Onions - Tor Metrics,http://hctxrvjzfpvmzh2jllqhgvvkoepxb4kfzdjm6h7egcwlumggtktiftid.onion/hidserv-dir-v3-onions
Traffic – Tor Metrics,http://hctxrvjzfpvmzh2jllqhgvvkoepxb4kfzdjm6h7egcwlumggtktiftid.onion/bandwidth-flags.html
Servers – Tor Metrics,http://hctxrvjzfpvmzh2jllqhgvvkoepxb4kfzdjm6h7egcwlumggtktiftid.onion/networksize.html
Users – Tor Metrics,http://hctxrvjzfpvmzh2jllqhgvvkoepxb4kfzdjm6h7egcwlumggtktiftid.onion/userstats-relay-country.html
